Profiling for 30 seconds
Done
--- Execution profile ---
Total samples       : 279
          ns  percent  samples  top
     1000000    0.36%        1  io.papermc.paper.adventure.providers.ClickCallbackProviderImpl$CallbackManager.handleQueue
     1000000    0.36%        1  io.papermc.paper.threadedregions.RegionizedServer$GlobalTickTickHandle.tickRegion
     1000000    0.36%        1  io.papermc.paper.threadedregions.RegionizedServer.advanceWeatherCycle
     1000000    0.36%        1  io.papermc.paper.threadedregions.RegionizedServer.autoSaveMaps
     1000000    0.36%        1  MemAllocator::Allocation::notify_allocation_jvmti_sampler
     1000000    0.36%        1  io.papermc.paper.threadedregions.RegionizedServer.tickConnections
     1000000    0.36%        1  io.papermc.paper.threadedregions.RegionizedServer.tickWorldBorder
     1000000    0.36%        1  Matcher::specialize_generic_vector_operands
     1000000    0.36%        1  io.papermc.paper.threadedregions.TickRegionScheduler.getCurrentRegion
     1000000    0.36%        1  LocationValue::write_on
     1000000    0.36%        1  Klass::is_cloneable
     1000000    0.36%        1  JvmtiVMObjectAllocEventCollector::JvmtiVMObjectAllocEventCollector
     1000000    0.36%        1  JavaThread::is_interrupted
     1000000    0.36%        1  java.lang.Object.<init>
     1000000    0.36%        1  java.lang.System.nanoTime
     1000000    0.36%        1  java.lang.Thread.sleepNanos
     1000000    0.36%        1  JavaFrameAnchor::make_walkable
     1000000    0.36%        1  JVM_SleepNanos
     1000000    0.36%        1  java.lang.ThreadLocal.get
     1000000    0.36%        1  java.lang.ThreadLocal.getMap
     1000000    0.36%        1  JNIHandleBlock::allocate_handle
     1000000    0.36%        1  InterpreterRuntime::exception_handler_for_exception
     1000000    0.36%        1  java.util.ArrayDeque.elementAt
     1000000    0.36%        1  java.util.ArrayList.<init>
     1000000    0.36%        1  java.util.ArrayList.removeIf
     1000000    0.36%        1  java.util.ArrayList.size
     1000000    0.36%        1  java.util.Collections.shuffle
     1000000    0.36%        1  InstanceKlass::find_method_index
     1000000    0.36%        1  java.util.HashMap.putVal
     1000000    0.36%        1  java.util.HashMap.remove
     1000000    0.36%        1  java.util.HashMap.removeNode
     1000000    0.36%        1  java.util.HashMap.values
     1000000    0.36%        1  java.util.HashSet.isEmpty
     1000000    0.36%        1  InstanceKlass::check_valid_for_instantiation
     1000000    0.36%        1  IndexSet::insert
     1000000    0.36%        1  java.util.PriorityQueue.add
     1000000    0.36%        1  ImmutableOopMap::update_register_map
     1000000    0.36%        1  IfTrueNode::Opcode
     1000000    0.36%        1  java.util.concurrent.ConcurrentLinkedQueue.poll
     1000000    0.36%        1  GraphKit::add_safepoint_edges
     1000000    0.36%        1  java.util.concurrent.ScheduledThreadPoolExecutor.reExecutePeriodic
     1000000    0.36%        1  java.util.concurrent.TimeUnit.toNanos
     1000000    0.36%        1  Dict::Insert
     1000000    0.36%        1  java.util.concurrent.locks.LockSupport.setBlocker
     1000000    0.36%        1  java_lang_Thread::interrupted
     1000000    0.36%        1  jmm_GetThreadCpuTimeWithKind
     1000000    0.36%        1  mach_absolute_time
     1000000    0.36%        1  DefaultICProtectionBehaviour::lock
     1000000    0.36%        1  mig_get_reply_port
     1000000    0.36%        1  ConstantPool::resolve_string_constants_impl
     1000000    0.36%        1  ConstMethod::exception_table_length_addr
     1000000    0.36%        1  net.minecraft.server.level.ServerLevel.tickSleep
     1000000    0.36%        1  net.minecraft.server.players.PlayerList.tick
     1000000    0.36%        1  CompileBroker::compile_method_base
     1000000    0.36%        1  net.minecraft.server.rcon.thread.RconThread.clearClients
     1000000    0.36%        1  net.minecraft.server.rcon.thread.RconThread.run
     1000000    0.36%        1  net.minecraft.util.Mth.randomBetweenInclusive
     1000000    0.36%        1  Compile::identify_useful_nodes
     1000000    0.36%        1  CollectedHeap::array_allocate
     1000000    0.36%        1  net.minecraft.world.clock.ServerClockManager.advanceTime
     1000000    0.36%        1  net.minecraft.world.clock.ServerClockManager.tick
     1000000    0.36%        1  CodeHeap::find_blob
     1000000    0.36%        1  net.minecraft.world.level.gamerules.GameRuleMap.get
     1000000    0.36%        1  net.minecraft.world.level.gamerules.GameRules.get
     1000000    0.36%        1  net.minecraft.world.level.saveddata.WeatherData.setRaining
     1000000    0.36%        1  net.minecraft.world.level.saveddata.WeatherData.setThundering
     1000000    0.36%        1  oopDesc::metadata_field
     1000000    0.36%        1  org.spigotmc.WatchdogThread.monotonicMillis
     1000000    0.36%        1  CodeCache::find_blob
     1000000    0.36%        1  BarrierSetAssembler::refine_register
     1000000    0.36%        1  AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<544868ull, G1BarrierSet>, (AccessInternal::BarrierType)2, 544868ull>::oop_access_barrier
     1000000    0.36%        1  sun.management.ThreadImpl.verifyCurrentThreadCpuTime
     1000000    0.36%        1  clock_gettime
     1000000    0.36%        1  sun.nio.ch.NioSocketImpl.beginAccept
     1000000    0.36%        1  PhaseChaitin::possibly_merge_multidef
