--- Execution profile ---
Total samples       : 3619

          ns  percent  samples  top
     7000000    0.19%        7  net.minecraft.world.level.block.state.BlockBehaviour.getCollisionShape
     7000000    0.19%        7  net.minecraft.world.entity.Entity.checkInsideBlocks
     7000000    0.19%        7  net.minecraft.world.entity.ai.goal.Goal.isInterruptable
     6000000    0.17%        6  it.unimi.dsi.fastutil.objects.Object2DoubleArrayMap.findKey
     6000000    0.17%        6  Matcher::xform
     6000000    0.17%        6  net.minecraft.world.entity.Entity.setPosRaw
     6000000    0.17%        6  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap.get
     6000000    0.17%        6  java.util.ImmutableCollections$ListN.get
     6000000    0.17%        6  net.minecraft.world.entity.LivingEntity.tick
     6000000    0.17%        6  net.minecraft.world.entity.Mob.aiStep
     6000000    0.17%        6  net.minecraft.server.network.ServerGamePacketListenerImpl.handleMovePlayer
     6000000    0.17%        6  net.minecraft.world.entity.Entity.move
     6000000    0.17%        6  net.minecraft.server.level.ChunkMap$TrackedEntity.moonrise$clearPlayers
     6000000    0.17%        6  __gettimeofday
     6000000    0.17%        6  java.lang.invoke.DirectMethodHandle.allocateInstance
     6000000    0.17%        6  net.minecraft.world.entity.Entity.getBlockSpeedFactor
     6000000    0.17%        6  io.papermc.paper.plugin.manager.PaperPluginManagerImpl.callEvent
     6000000    0.17%        6  java.util.HashMap.clear
     6000000    0.17%        6  net.minecraft.world.ticks.LevelTicks.sortContainersToTick
     6000000    0.17%        6  ca.spottedleaf.moonrise.patches.collisions.CollisionUtil.getCollisionsForBlocksOrWorldBorder
     6000000    0.17%        6  PhaseIterGVN::add_users_of_use_to_worklist
     5000000    0.14%        5  _platform_memmove
     5000000    0.14%        5  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup.getEntities
     5000000    0.14%        5  net.minecraft.world.entity.Mob.serverAiStep
     5000000    0.14%        5  fmodf
     5000000    0.14%        5  io.papermc.paper.threadedregions.FoliaWatchdogThread.addTick
     5000000    0.14%        5  Type::Initialize_shared(Compile*)::$_0::__invoke
     5000000    0.14%        5  net.minecraft.core.BlockPos$4.computeNext
     5000000    0.14%        5  net.minecraft.world.entity.Mob.checkDespawn
     5000000    0.14%        5  MultiNode::is_CFG
     5000000    0.14%        5  net.minecraft.world.entity.LivingEntity.tryAddFrost
     5000000    0.14%        5  Arena::contains
     5000000    0.14%        5  io.papermc.paper.threadedregions.TickData.addDataFrom
     5000000    0.14%        5  net.minecraft.world.level.EntityGetter.getNearestPlayer
     5000000    0.14%        5  net.minecraft.world.level.material.FlowingFluid.hasSameAbove
     5000000    0.14%        5  net.minecraft.world.entity.LivingEntity.getScale
     5000000    0.14%        5  G1PhaseDependentSeq::predict
     5000000    0.14%        5  PhaseChaitin::gather_lrg_masks
     5000000    0.14%        5  PhaseChaitin::post_allocate_copy_removal
     5000000    0.14%        5  org.bukkit.craftbukkit.entity.CraftEnderman.getHandleRaw
     5000000    0.14%        5  java.util.HashMap.removeNode
     5000000    0.14%        5  PhaseIdealLoop::build_loop_early
     5000000    0.14%        5  java.util.HashMap$HashIterator.<init>
     5000000    0.14%        5  PhaseLive::compute
     5000000    0.14%        5  net.minecraft.world.entity.player.Inventory.getItem
     4000000    0.11%        4  net.minecraft.world.level.NaturalSpawner.spawnForChunk
     4000000    0.11%        4  NodeHash::hash_find_insert
     4000000    0.11%        4  net.minecraft.world.entity.Entity.applyEffectsFromBlocks
     4000000    0.11%        4  net.minecraft.world.entity.Entity.getDeltaMovement
     4000000    0.11%        4  net.minecraft.world.entity.Entity$MovementEmission.emitsAnything
     4000000    0.11%        4  net.minecraft.world.entity.monster.Monster.aiStep
     4000000    0.11%        4  PhaseLive::add_liveout
     4000000    0.11%        4  net.minecraft.world.entity.player.Player.respawnEntityOnShoulder
     4000000    0.11%        4  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ChunkHolderManager.processPendingFullUpdate
     4000000    0.11%        4  org.bukkit.craftbukkit.entity.CraftChicken.getHandleRaw
     4000000    0.11%        4  ciInstanceKlass::get_field_by_offset
     4000000    0.11%        4  PhaseIdealLoop::build_loop_late_post_work
     4000000    0.11%        4  java.util.HashMap.putVal
     4000000    0.11%        4  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet$SetIterator.next
     4000000    0.11%        4  Compile::disconnect_useless_nodes
     4000000    0.11%        4  ciObjectFactory::get_metadata
     4000000    0.11%        4  net.minecraft.world.entity.ai.navigation.PathNavigation.followThePath
     4000000    0.11%        4  io.netty.buffer.PoolThreadCache.allocate
     4000000    0.11%        4  java.util.IdentityHashMap.get
     4000000    0.11%        4  net.minecraft.world.inventory.ResultContainer.getItem
     4000000    0.11%        4  org.bukkit.craftbukkit.entity.CraftEntity.isVisibleByDefault
     4000000    0.11%        4  G1CodeRootSet::length
     4000000    0.11%        4  it.unimi.dsi.fastutil.objects.Object2DoubleArrayMap.clear
     4000000    0.11%        4  PhaseChaitin::Split
