Profiling for 30 seconds
Done
--- Execution profile ---
Total samples       : 226
          ns  percent  samples  top
     1000000    0.44%        1  net.minecraft.server.level.ServerLevel.clockManager
     1000000    0.44%        1  net.minecraft.world.attribute.EnvironmentAttributeSystem.getValueSampler
     1000000    0.44%        1  net.minecraft.world.clock.ServerClockManager$$Lambda.0x00003ffc02269dd0.accept
     1000000    0.44%        1  Compile::disconnect_useless_nodes
     1000000    0.44%        1  CodeCache::find_blob
     1000000    0.44%        1  net.minecraft.world.level.Level.dimensionType
     1000000    0.44%        1  net.minecraft.world.level.Level.isRaining
     1000000    0.44%        1  net.minecraft.world.level.border.WorldBorder.tick
     1000000    0.44%        1  net.minecraft.world.level.saveddata.SavedData.setDirty
     1000000    0.44%        1  BacktraceBuilder::push
     1000000    0.44%        1  Arena::contains
     1000000    0.44%        1  pthread_jit_write_protect_np
     1000000    0.44%        1  pthread_mutex_unlock
     1000000    0.44%        1  stub:mach_absolute_time
     1000000    0.44%        1  stub:pthread_jit_write_protect_np
     1000000    0.44%        1  sun.management.ThreadImpl.isThreadCpuTimeEnabled
     1000000    0.44%        1  sun.management.ThreadImpl.verifyCurrentThreadCpuTime
     1000000    0.44%        1  vmSymbols::find_sid
     1000000    0.44%        1  PhaseCFG::raise_above_anti_dependences
